model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2023-03-27,-553.8853310039631,-5223.714021522843,-1606.1965725208574,-5146.28111489577,-485.0527236279595,-13015.12976357108,-13015.12976357108,-13101.222406712935,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-25,-647.3917023865433,-7745.977158342255,-4063.2000948263158,-5819.016650164325,-612.6412901681979,-18888.226895887638,-18888.226895887638,-18890.875279265143,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2023-05-15,-128.09262747293542,-2580.3337342189043,-750.2754542375333,-1369.0033100924338,-27.01081062798039,-4854.715936649824,,-17629.18622386077,var|historical|full_revaluation^ytm|var_type^10^95,-17658.790110171074,,,,,,,,,,,,
10-Day 99% var_type,2022-03-02,-928.219434406441,-10959.61977793579,-2003.7882937813993,-6217.429255905852,-1380.6055937433266,-21489.662355772918,,-24184.15253091536,var|historical|full_revaluation^ytm|var_type^10^99,-24100.67814941285,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-03-02,-928.219434406441,-10959.61977793579,-2003.7882937813993,-6217.429255905852,-1380.6055937433266,-21489.662355772918,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-24100.67814941285,-24184.15253091536,,,,,,,,,,,
10-Day 95% expected_shortfall,2023-05-15,-128.09262747293542,-2580.3337342189043,-750.2754542375333,-1369.0033100924338,-27.01081062798039,-4854.715936649824,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-17658.790110171074,-17629.18622386077,,,,,,,,,,,
10-Day 95% var_type,2022-06-16,,,,,,-32435.259301210543,,-42103.81543531617,var|historical|sensitivity_approximation^ytm|var_type^10^95,-42470.93781469979,,-2095.44616365484,-14019.03399833454,-4446.939786196883,-10874.352746576735,-999.4866064475432,,,,,,
10-Day 99% var_type,2022-03-15,,,,,,-45205.763707859216,,-60023.58605143961,var|historical|sensitivity_approximation^ytm|var_type^10^99,-59895.6002738293,,-2483.4917495168465,-22430.454397335292,-6047.838109227756,-12988.81022507775,-1255.1692267015658,,,,,,
10-Day 95% var_type,,,,,,,-40244.9777591453,,-61648.038621307016,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-61650.596983680494,,,,,,,28014.0,-2124.159652721604,-13227.308160410556,-7046.621464835416,-16024.736885743678,-1822.1515954340464
10-Day 99% var_type,,,,,,,-31670.821497127326,,-87476.6039354194,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-87471.19769619833,,,,,,,9495.0,-1072.4416525023935,-17203.801599915463,-7069.509739866946,-6353.162573171662,28.094068329142782
