model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-09-27,-2874.2894403263344,-4632.605143342982,-586.6249438978557,-1011.3450847668719,-1046.3086926788092,-10151.173305012751,-10151.173305012751,-10206.385651663173,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-08-05,-4049.572495377448,-4454.562236385973,-386.3186424661835,-1980.1863075968868,-4290.053332936368,-15160.69301476283,-15160.69301476283,-15171.936030941712,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-03-21,-3757.1543060530676,-4636.98297141667,-443.0897791956668,-2512.8461630793463,-4035.4801185956458,-15385.553338340484,,-13938.83338378198,var|historical|full_revaluation^ytm|var_type^10^95,-13953.667298822664,,,,,,,,,,,,
10-Day 99% var_type,2022-06-13,-6399.3766107716365,-5239.707813000045,-1495.4643418623746,-3492.640368191409,-6125.9749686720315,-22753.16410249751,,-20287.056771021114,var|historical|full_revaluation^ytm|var_type^10^99,-20283.320455144858,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-06-13,-6399.3766107716365,-5239.707813000045,-1495.4643418623746,-3492.640368191409,-6125.9749686720315,-22753.16410249751,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-20283.320455144858,-20287.056771021114,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-03-21,-3757.1543060530676,-4636.98297141667,-443.0897791956668,-2512.8461630793463,-4035.4801185956458,-15385.553338340484,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-13953.667298822664,-13938.83338378198,,,,,,,,,,,
10-Day 95% var_type,2022-08-12,,,,,,-12007.216606757265,,-31054.26833656028,var|historical|sensitivity_approximation^ytm|var_type^10^95,-31106.339456134912,,-3072.9770335407584,-3056.1413741524552,-323.9411655923783,-1691.935246873681,-3862.221786597993,,,,,,
10-Day 99% var_type,2022-12-21,,,,,,-17736.700160405257,,-44622.015704451085,var|historical|sensitivity_approximation^ytm|var_type^10^99,-44200.76915689315,,-3482.707304679523,-7757.89733438698,-1619.7058279618989,-2587.665671689157,-2288.724021687695,,,,,,
10-Day 95% var_type,,,,,,,-40095.982277993375,,-50841.41737212846,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-50843.24221587322,,,,,,,25547.0,-12414.948745974023,-12192.078730851232,-3807.1917630804887,-4630.332002166655,-7051.431035920981
10-Day 99% var_type,,,,,,,-58577.88013944173,,-71351.29146147984,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-71350.22115307204,,,,,,,11202.0,-13819.230092941692,-16832.34297994596,-4758.278220156544,-9457.593105082324,-13710.435741315212
