cusip,issuer,bond_type,face_value,coupon_rate,coupon_frequency,next_coupon_date,maturity_date,last_price,adtv,rating,as_of_date,years_to_maturity,weight,market_value,quantity,last_yield,modified_duration,dv01,convexity,cr01,financial_crisis_2008 price,stress_testing|financial_crisis_2008|full_revaluation^zero_curve,oil_crisis_1974 price,stress_testing|oil_crisis_1974|full_revaluation^zero_curve
01609WAJ1,ALIBABA GROUP HLDG LTD,CORP,100,0.045,2,2023-11-28,2034-11-28,88.86256674,35,A,2023-09-20,11.189596167008897,0.2875178388174685,287517.8388174685,3235.5338064756475,0.05890000000129631,8.403361527540715,-0.07467442745814352,86.02504948481192,-0.001422774383506541,101.512914726039,40930.628572510286,98.91669685802457,32530.477891573453
037833BA7,Apple Inc AAPL,CORP,100,0.0345,2,2024-02-09,2045-02-09,77.68969448,85,AA,2023-09-20,21.39082819986311,0.10575929811313994,105759.29811313994,1361.3040805607238,0.05209999999753676,13.91009650722939,-0.10806711478339666,251.5685199564412,-0.007666607639083471,78.78405874929419,1489.7625454100348,75.92218056984119,-2406.1238983470307
931142CM3,Walmart Inc WMT,CORP,100,0.062,1,2024-04-15,2038-04-15,138.65,5,AA,2023-09-20,14.568104038329912,0.27000972975593035,270009.72975593037,1947.419615982188,0.028202449279395365,10.191415952818584,-0.14130398218582968,132.56415573648084,-0.003032782475270403,76.47431972943603,-121082.13939593299,74.03799843533834,-125826.67927489395
912797HC4,U.S. Treasury 10Yr,UST,100,0.03875,2,2024-02-15,2033-08-15,96.33577141,100,AAA,2023-09-20,9.902806297056811,0.0009423201113735598,942.3201113735597,9.78162210756682,0.0437185056500719,7.829648279258705,-0.07542752068513665,37.880535655021475,-0.0005988059047685149,92.69823221177047,-35.58103383854288,90.3793455007949,-58.263507355564485
912797JA6,U.S. Treasury 5Yr,UST,100,0.04375,2,2024-02-28,2028-08-31,99.41551367,125,AAA,2023-09-20,4.947296372347707,0.33577081320208757,335770.8132020876,3377.4488589039106,0.045364262070481186,4.039236977527757,-0.04015628189557802,5.904305839279894,-0.0024370022438369456,99.35148629856482,-216.2491725923438,97.87206642272949,-5212.914144072155
