cusip,issuer,bond_type,face_value,coupon_rate,coupon_frequency,next_coupon_date,maturity_date,last_price,adtv,rating,as_of_date,years_to_maturity,weight,market_value,quantity,last_yield,modified_duration,dv01,convexity,cr01,financial_crisis_2008 price,stress_testing|financial_crisis_2008|full_revaluation^zero_curve,oil_crisis_1974 price,stress_testing|oil_crisis_1974|full_revaluation^zero_curve
01609WAJ1,ALIBABA GROUP HLDG LTD,CORP,100,0.045,2,2023-11-28,2034-11-28,88.86256674,35,A,2023-09-20,11.189596167008897,0.10566261033787665,105662.61033787664,1189.0564746687019,0.05890000000129631,8.403361527540715,-0.07467442745814352,86.02504948481192,-0.006197463448216213,101.512914726039,15041.978179611839,98.91669685802457,11954.928513998702
037833BA7,Apple Inc AAPL,CORP,100,0.0345,2,2024-02-09,2045-02-09,77.68969448,85,AA,2023-09-20,21.39082819986311,0.09349455381339615,93494.55381339615,1203.4357251522576,0.05209999999753676,13.91009650722939,-0.10806711478339666,251.5685199564412,-0.003663174798682173,78.78405874929419,1316.9970579987732,75.92218056984119,-2127.089384188672
931142CM3,Walmart Inc WMT,CORP,100,0.062,1,2024-04-15,2038-04-15,138.65,5,AA,2023-09-20,14.568104038329912,0.3056084770664536,305608.4770664536,2204.1722110815263,0.028202449279395365,10.191415952818584,-0.14130398218582968,132.56415573648084,-0.013979817512378465,76.47431972943603,-137045.906657467,74.03799843533834,-142415.97835118335
912797HC4,U.S. Treasury 10Yr,UST,100,0.03875,2,2024-02-15,2033-08-15,96.33577141,100,AAA,2023-09-20,9.902806297056811,0.2335466078435845,233546.6078435845,2424.297895011629,0.0437185056500719,7.829648279258705,-0.07542752068513665,37.880535655021475,-0.005166698042393496,92.69823221177047,-8818.478621290145,90.3793455007949,-14440.150793478673
912797JA6,U.S. Treasury 5Yr,UST,100,0.04375,2,2024-02-28,2028-08-31,99.41551367,125,AAA,2023-09-20,4.947296372347707,0.2616877509386892,261687.7509386892,2632.2627251852855,0.045364262070481186,4.039236977527757,-0.04015628189557802,5.904305839279894,-0.0034416853132744228,99.35148629856482,-168.53686322040048,97.87206642272949,-4062.7586572799914
