model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-04-14,-4173.046321643516,-1460.1344741603534,-287.760225214377,-4999.306903748016,-423.124597895403,-11343.372522661695,-11343.372522661695,-11385.06677962909,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-14,-6293.831720346003,-3838.115078964882,-428.8146789931561,-5797.651684604236,-475.67997167028807,-16834.09313457855,-16834.09313457855,-16836.812819875755,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-03-21,-6279.128802466206,-3700.781146260764,-129.89169558474532,-7327.9108999404125,-637.424916127311,-18075.137460379396,,-15831.908613342614,var|historical|full_revaluation^ytm|var_type^10^95,-15869.536196678644,,,,,,,,,,,,
10-Day 99% var_type,2022-02-14,-3092.888036069693,-1097.8594917570008,-403.8640198674402,-5536.028831979085,-223.26355172603508,-10353.903931399342,,-21466.370921999016,var|historical|full_revaluation^ytm|var_type^10^99,-21450.681972154416,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-02-14,-3092.888036069693,-1097.8594917570008,-403.8640198674402,-5536.028831979085,-223.26355172603508,-10353.903931399342,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-21450.681972154416,-21466.370921999016,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-03-21,-6279.128802466206,-3700.781146260764,-129.89169558474532,-7327.9108999404125,-637.424916127311,-18075.137460379396,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-15869.536196678644,-15831.908613342614,,,,,,,,,,,
10-Day 95% var_type,2022-03-18,,,,,,-29169.681367916415,,-36257.03058652206,var|historical|sensitivity_approximation^ytm|var_type^10^95,-36428.44102451687,,-13695.200873729622,-2251.4859233963243,-506.47092899774077,-11609.38158465604,-1107.1420571366898,,,,,,
10-Day 99% var_type,2022-12-21,,,,,,-20394.476960395703,,-51148.850707265054,var|historical|sensitivity_approximation^ytm|var_type^10^99,-50866.04193517823,,-5820.460371335094,-6191.586289339889,-474.81649593538106,-7546.09803002642,-361.5157737589186,,,,,,
10-Day 95% var_type,,,,,,,-79340.9727415108,,-58046.63205053558,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-58051.037300790325,,,,,,,22948.0,-31026.211237113923,-13816.051470674702,-1470.6746991821283,-30082.13944132133,-2945.8958932187284
10-Day 99% var_type,,,,,,,-66070.51101687893,,-81897.81650982937,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-81897.07860268977,,,,,,,16341.0,-30325.376546292566,-11012.995252585875,-1629.5260092129693,-20965.682795485845,-2136.9304133016685
