model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-08-17,-22.901185591518242,-2965.362343969842,-4611.807043187204,-877.0440823609533,-1552.8603113587596,-10029.97496646829,-10029.97496646829,-10056.743572825157,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-08-02,-43.009791558948564,-3085.57766854277,-6205.218056320911,-1997.726913720253,-3327.1367471409612,-14658.669177283766,-14658.669177283766,-14692.568104421438,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-12-19,-26.35440032788665,-2973.2066843854554,-3406.8572304561967,-1053.4358753640554,-1376.6365086010774,-8836.490699134767,,-13549.457611889771,var|historical|full_revaluation^ytm|var_type^10^95,-13678.534790781327,,,,,,,,,,,,
10-Day 99% var_type,2023-03-01,-25.30522633463852,-420.93841062128195,-1868.8694359375513,-968.6225316941709,-1332.822768221784,-4616.558372809435,,-20790.708107429073,var|historical|full_revaluation^ytm|var_type^10^99,-20783.669804324396,,,,,,,,,,,,
10-Day 99% expected_shortfall,2023-03-01,-25.30522633463852,-420.93841062128195,-1868.8694359375513,-968.6225316941709,-1332.822768221784,-4616.558372809435,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-20783.669804324396,-20790.708107429073,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-12-19,-26.35440032788665,-2973.2066843854554,-3406.8572304561967,-1053.4358753640554,-1376.6365086010774,-8836.490699134767,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-13678.534790781327,-13549.457611889771,,,,,,,,,,,
10-Day 95% var_type,2023-08-02,,,,,,-22895.342939180533,,-30980.701237552836,var|historical|sensitivity_approximation^ytm|var_type^10^95,-31021.8744495075,,-55.7670937237512,-6017.586458777384,-10370.136286765552,-3285.3852755406633,-3166.467824373182,,,,,,
10-Day 99% var_type,2022-06-15,,,,,,-28017.821430489552,,-43308.32691883288,var|historical|sensitivity_approximation^ytm|var_type^10^99,-43294.33599426999,,-151.36782582160998,-7822.862396410579,-10802.22529871413,-3882.7280529116924,-5358.637856631539,,,,,,
10-Day 95% var_type,,,,,,,-31742.91538055369,,-48209.499173583805,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-48211.35184029075,,,,,,,26709.0,-91.71330922155576,-2905.151696153124,-8241.547688218036,-7497.833907145847,-13006.668779815129
10-Day 99% var_type,,,,,,,-58589.98544980692,,-68535.47570269617,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-68534.43758111366,,,,,,,2141.0,-223.52198258556697,-14907.607807633933,-24730.757115646415,-7997.6473381589685,-10730.451205782032
