date,01609WAJ1_quantity,01609WAJ1_market_value,037833BA7_quantity,037833BA7_market_value,931142CM3_quantity,931142CM3_market_value,912797HC4_quantity,912797HC4_market_value,912797JA6_quantity,912797JA6_market_value,portfolio_value,daily_yield
2023-09-20,2538.0652322353517,225538.9910924402,1807.0598236677545,140389.92560304908,2326.8889985770766,322631.18740452436,838.6358430490119,80790.63086950194,2320.1337926283045,230657.29278123588,1000008.0277507515,3.323419005241135e-05
2023-09-19,2538.0652322353517,225538.9910924402,1807.0598236677545,140389.92560304908,2326.8889985770766,322631.18740452436,838.6358430490119,80664.1738380994,2320.1337926283045,230750.51646027362,999974.7943983867,-0.004335873029646775
2023-09-18,2538.0652322353517,226297.21507914632,1807.0598236677545,142546.5989871704,2326.8889985770766,323287.5719117143,838.6358430490119,80980.75387895314,2320.1337926283045,231217.29947026193,1004329.439327246,0.001534776450785147
2023-09-15,2538.0652322353517,226107.36761425345,1807.0598236677545,142151.2665924002,2326.8889985770766,322303.63576356904,838.6358430490119,80917.32113659676,2320.1337926283045,231310.7891597197,1002790.3802665392,-0.001622809317524343
2023-09-14,2538.0652322353517,226677.49424815478,1807.0598236677545,142348.75327022577,2326.8889985770766,322631.18740452436,838.6358430490119,81171.40324077466,2320.1337926283045,231591.5248266314,1004420.362990311,-0.0032000669810990923
2023-09-13,2538.0652322353517,227058.55385377083,1807.0598236677545,143341.58661946285,2326.8889985770766,323945.66889874847,838.6358430490119,81426.42388632183,2320.1337926283045,231872.6608864328,1007644.8941447367,0.0014831018549785746
2023-09-12,2538.0652322353517,226867.92638743515,1807.0598236677545,143341.58661946285,2326.8889985770766,322959.16591184895,838.6358430490119,81298.79601177882,2320.1337926283045,231685.19232700978,1006152.6672575355,0.00035957695325539163
2023-09-11,2538.0652322353517,226867.92638743515,1807.0598236677545,143341.58661946285,2326.8889985770766,322631.18740452436,838.6358430490119,81171.40324077466,2320.1337926283045,231778.9043390734,1005791.0079912704,-0.002163272930985727
2023-09-08,2538.0652322353517,227249.37686539002,1807.0598236677545,143541.2383252427,2326.8889985770766,323945.66889874847,838.6358430490119,81362.58053179136,2320.1337926283045,231872.6608864328,1007971.5255076054,0.00035773538303041086
2023-09-07,2538.0652322353517,227058.55385377083,1807.0598236677545,143341.58661946285,2326.8889985770766,323945.66889874847,838.6358430490119,81298.79601177882,2320.1337926283045,231966.46199271074,1007611.0673764717,0.0043991113960044625
2023-09-06,2538.0652322353517,226297.21507914632,1807.0598236677545,141757.36749151524,2326.8889985770766,322631.18740452436,838.6358430490119,81107.79487267208,2320.1337926283045,231404.32326656196,1003197.8881144199,-0.002899484338296232
2023-09-05,2538.0652322353517,227249.37686539002,1807.0598236677545,141560.95364091458,2326.8889985770766,323945.66889874847,838.6358430490119,81298.79601177882,2320.1337926283045,232060.30768154497,1006115.1030983769,-0.0056383502423120735
2023-09-01,2538.0652322353517,228590.63160004266,1807.0598236677545,142943.37041005844,2326.8889985770766,325598.43651048583,838.6358430490119,81874.97967404641,2320.1337926283045,232812.68100524342,1011820.0991998768,-0.006843611870497424
2023-08-31,2538.0652322353517,229941.55410684817,1807.0598236677545,144949.0153419641,2326.8889985770766,327930.4956702837,838.6358430490119,82455.96715167706,2320.1337926283045,233515.28613290272,1018792.3184036758,0.0022222805629048548
2023-08-30,2538.0652322353517,229554.58532517066,1807.0598236677545,145354.54271316828,2326.8889985770766,326262.5668888697,838.6358430490119,82261.7682346096,2320.1337926283045,233099.8330561269,1016533.2962179452,-0.0007783215705571278
2023-08-29,2538.0652322353517,229554.58532517066,1807.0598236677545,146374.84846636018,2326.8889985770766,325930.28511306125,838.6358430490119,82261.7682346096,2320.1337926283045,233203.61515012442,1017325.1022893261,0.006705785697282085
2023-08-28,2538.0652322353517,227631.61039867558,1807.0598236677545,143941.63256454282,2326.8889985770766,325267.02044592286,838.6358430490119,81746.52523378134,2320.1337926283045,231961.7914317302,1010548.5800746528,0.002561518639375704
2023-08-25,2538.0652322353517,227249.37686539002,1807.0598236677545,143341.58661946285,2326.8889985770766,324605.4833950046,838.6358430490119,81426.42388632183,2320.1337926283045,231343.7839345885,1007966.6547007677,9.242237676243548e-05
2023-08-24,2538.0652322353517,227440.39564077643,1807.0598236677545,142744.8044607679,2326.8889985770766,324275.36114326096,838.6358430490119,81554.28733383949,2320.1337926283045,231858.65605734847,1007873.5046359933,-0.002373316413294413
2023-08-23,2538.0652322353517,228014.62873828065,1807.0598236677545,143341.58661946285,2326.8889985770766,324936.0362851621,838.6358430490119,81810.72283051463,2320.1337926283045,232168.22337831312,1010271.1978517334,0.009503316991951616
2023-08-22,2538.0652322353517,225538.9910924402,1807.0598236677545,141560.95364091458,2326.8889985770766,321976.5103638086,838.6358430490119,80853.94681951814,2320.1337926283045,230830.25022468023,1000760.6521413617,0.0030623369688458357
2023-08-21,2538.0652322353517,225349.92015384723,1807.0598236677545,139039.72936509206,2326.8889985770766,321323.53579214966,838.6358430490119,80853.94681951814,2320.1337926283045,231138.2100573573,997705.3421879645,-0.00537660829615938
2023-08-18,2538.0652322353517,226677.49424815478,1807.0598236677545,139809.172375649,2326.8889985770766,323287.5719117143,838.6358430490119,81362.58053179136,2320.1337926283045,231961.7914317302,1003098.6104990395,0.00047990078727955243
2023-08-17,2538.0652322353517,226487.25721796261,1807.0598236677545,141169.19378177632,2326.8889985770766,322303.63576356904,838.6358430490119,81107.79487267208,2320.1337926283045,231549.57195773977,1002617.4535937198,-0.0009079041818791378
2023-08-16,2538.0652322353517,226677.49424815478,1807.0598236677545,140778.85298597993,2326.8889985770766,323287.5719117143,838.6358430490119,81235.07026763521,2320.1337926283045,231549.57195773977,1003528.5613712239,-0.0062557551305362225
2023-08-14,2538.0652322353517,228206.43275877135,1807.0598236677545,143142.29755559977,2326.8889985770766,324605.4833950046,838.6358430490119,81723.47301672176,2320.1337926283045,232168.22337831312,1009845.9101044106,-0.0029642567775522988
2023-08-11,2538.0652322353517,228783.02686116955,1807.0598236677545,143857.04530374552,2326.8889985770766,325598.43651048583,838.6358430490119,81924.49871087562,2320.1337926283045,232685.24501494647,1012848.2524012229,-0.0038047727784995544
2023-08-10,2538.0652322353517,229941.55410684817,1807.0598236677545,144060.6244988326,2326.8889985770766,326595.28247414815,838.6358430490119,82395.82938662797,2320.1337926283045,233723.33768500458,1016716.6281514615,-0.00700041331226664
2023-08-09,2538.0652322353517,231497.40105514068,1807.0598236677545,146117.3312561306,2326.8889985770766,328600.7217421538,838.6358430490119,83006.52817440081,2320.1337926283045,234662.25879470995,1023884.2410225357,0.002868457015484438
2023-08-08,2538.0652322353517,231497.40105514068,1807.0598236677545,143451.0176660681,2326.8889985770766,328265.3898820767,838.6358430490119,82870.35794241063,2320.1337926283045,234871.5070125229,1020955.6735582191,0.003090182656785734
2023-08-07,2538.0652322353517,230717.8796498142,1807.0598236677545,143857.04530374552,2326.8889985770766,326595.28247414815,838.6358430490119,82395.82938662797,2320.1337926283045,234244.41653305385,1017810.4533473897,-0.0033843223093589225
2023-08-04,2538.0652322353517,231107.2399758515,1807.0598236677545,144878.728443594,2326.8889985770766,328265.3898820767,838.6358430490119,82666.5954834613,2320.1337926283045,234348.79540549804,1021266.7491904815,0.009944303517900321
2023-08-03,2538.0652322353517,228783.02686116955,1807.0598236677545,143046.49258334024,2326.8889985770766,324936.0362851621,838.6358430490119,81656.59371174223,2320.1337926283045,232788.81103743822,1011210.9604788523,-0.00767265703047304
2023-08-02,2538.0652322353517,230523.4992101248,1807.0598236677545,145702.92907768232,2326.8889985770766,326928.4325061489,838.6358430490119,82463.42284646224,2320.1337926283045,233411.34165723424,1019029.6252976526,-0.003284226348410413
2023-08-01,2538.0652322353517,231302.22030937928,1807.0598236677545,146741.82952686356,2326.8889985770766,328265.3898820767,838.6358430490119,82666.5954834613,2320.1337926283045,233411.34165723424,1022387.3768590151,-0.0068883072258782985
2023-07-31,2538.0652322353517,232672.7067634585,1807.0598236677545,149274.96786501957,2326.8889985770766,330283.9683212924,838.6358430490119,83211.2777863418,2320.1337926283045,234035.82198527863,1029478.7427213909,-0.0007396714776940483
2023-07-28,2538.0652322353517,232476.31882564983,1807.0598236677545,149488.6288072686,2326.8889985770766,330960.3530887452,838.6358430490119,83279.65973637915,2320.1337926283045,234035.82198527863,1030240.7824433214,0.002759077857805048
2023-07-27,2538.0652322353517,231497.40105514068,1807.0598236677545,149274.96786501957,2326.8889985770766,330283.9683212924,838.6358430490119,82938.41015335685,2320.1337926283045,233411.34165723424,1027406.0890520437,-0.007747846628881283
2023-07-26,2538.0652322353517,233263.0834072709,1807.0598236677545,150562.9282685439,2326.8889985770766,332659.07585406175,838.6358430490119,83967.12918725962,2320.1337926283045,234976.21300356704,1035428.4297207032,0.002779982488819499
2023-07-25,2538.0652322353517,232476.31882564983,1807.0598236677545,150132.00626045055,2326.8889985770766,331978.2530535579,838.6358430490119,83622.56319272397,2320.1337926283045,234348.79540549804,1032557.9367378803,-0.001350989058979124
2023-07-24,2538.0652322353517,232672.7067634585,1807.0598236677545,150778.99284883458,2326.8889985770766,331978.2530535579,838.6358430490119,83967.12918725962,2320.1337926283045,234557.71650483028,1033954.7983579409,-0.0020245481259739684
2023-07-21,2538.0652322353517,233066.0888280129,1807.0598236677545,150562.9282685439,2326.8889985770766,333341.68302758224,838.6358430490119,84105.42304584586,2320.1337926283045,234976.21300356704,1036052.336173552,0.001023660208899102
2023-07-20,2538.0652322353517,232869.29668887283,1807.0598236677545,150347.26634683323,2326.8889985770766,332659.07585406175,838.6358430490119,84036.24265663991,2320.1337926283045,235080.97362481058,1034992.8551712183,-0.0073442295732579765
2023-07-19,2538.0652322353517,234647.73285863022,1807.0598236677545,152083.88248715556,2326.8889985770766,335056.0421491481,838.6358430490119,84731.0695185873,2320.1337926283045,236131.59146120606,1042650.3184747272,0.0038605027795768354
2023-07-18,2538.0652322353517,233657.68079304168,1807.0598236677545,150995.4609127361,2326.8889985770766,333683.657397106,838.6358430490119,84382.81520234661,2320.1337926283045,235921.02907873146,1038640.6433839619,0.0022281826154544326
2023-07-17,2538.0652322353517,233263.0834072709,1807.0598236677545,149702.68830950218,2326.8889985770766,333341.68302758224,838.6358430490119,84313.36643293424,2320.1337926283045,235710.686357735,1036331.5075350245,-0.0004932479390498123
2023-07-14,2538.0652322353517,233263.0834072709,1807.0598236677545,150562.9282685439,2326.8889985770766,333341.68302758224,838.6358430490119,84174.67042489072,2320.1337926283045,235500.56304417618,1036842.928172464,-0.004708389744647823
2023-07-13,2538.0652322353517,234846.35514117876,1807.0598236677545,151212.3332870543,2326.8889985770766,334368.9509966536,838.6358430490119,84661.283691054,2320.1337926283045,236658.9601063961,1041747.8832223366,0.007224193389156586
2023-07-12,2538.0652322353517,232672.7067634585,1807.0598236677545,150132.00626045055,2326.8889985770766,332318.4417352335,838.6358430490119,83967.12918725962,2320.1337926283045,235185.78890785784,1034276.07285426,0.01088637258897096
2023-07-11,2538.0652322353517,230135.33666143753,1807.0598236677545,147579.93112074072,2326.8889985770766,328936.4918938999,838.6358430490119,83074.71207432706,2320.1337926283045,233411.34165723424,1023137.8134076394,0.00055538111397202
2023-07-10,2538.0652322353517,229554.58532517066,1807.0598236677545,147160.10092922847,2326.8889985770766,329609.3496510807,838.6358430490119,82938.41015335685,2320.1337926283045,233307.45134007107,1022569.8973989077,0.004974023921001436
