cusip,issuer,bond_type,face_value,coupon_rate,coupon_frequency,next_coupon_date,maturity_date,last_price,adtv,rating,as_of_date,years_to_maturity,weight,market_value,quantity,last_yield,modified_duration,dv01,convexity,cr01,financial_crisis_2008 price,stress_testing|financial_crisis_2008|full_revaluation^zero_curve,oil_crisis_1974 price,stress_testing|oil_crisis_1974|full_revaluation^zero_curve
01609WAJ1,ALIBABA GROUP HLDG LTD,CORP,100,0.045,2,2023-11-28,2034-11-28,88.86256674,35,A,2023-09-20,11.189596167008897,0.3432420942159388,343242.0942159388,3862.6173743126205,0.05890000000129631,8.403361527540715,-0.07467442745814352,86.02504948481192,-0.004513191721641769,101.512914726039,48863.45392197489,98.91669685802457,38835.25767748146
037833BA7,Apple Inc AAPL,CORP,100,0.0345,2,2024-02-09,2045-02-09,77.68969448,85,AA,2023-09-20,21.39082819986311,0.002394984482373005,2394.984482373005,30.827569839260423,0.05209999999753676,13.91009650722939,-0.10806711478339666,251.5685199564412,-0.009917313735327647,78.78405874929419,33.73659094125782,75.92218056984119,-54.488158507285036
931142CM3,Walmart Inc WMT,CORP,100,0.062,1,2024-04-15,2038-04-15,138.65,5,AA,2023-09-20,14.568104038329912,0.34658308513301467,346583.08513301465,2499.6976929896477,0.028202449279395365,10.191415952818584,-0.14130398218582968,132.56415573648084,-0.012737014766126034,76.47431972943603,-155420.40453239073,74.03799843533834,-161510.4712506283
912797HC4,U.S. Treasury 10Yr,UST,100,0.03875,2,2024-02-15,2033-08-15,96.33577141,100,AAA,2023-09-20,9.902806297056811,0.07996852871008388,79968.52871008388,830.1021265480089,0.0437185056500719,7.829648279258705,-0.07542752068513665,37.880535655021475,-0.0036093982622750244,92.69823221177047,-3019.5290238520743,90.3793455007949,-4944.441813856818
912797JA6,U.S. Treasury 5Yr,UST,100,0.04375,2,2024-02-28,2028-08-31,99.41551367,125,AAA,2023-09-20,4.947296372347707,0.22781130745858974,227811.30745858973,2291.5066175163256,0.045364262070481186,4.039236977527757,-0.04015628189557802,5.904305839279894,-0.0005170152530445151,99.35148629856482,-146.71914534587597,97.87206642272949,-3536.819580907723
