model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-10-19,-4242.33103189338,-2391.4079497778002,-2476.7907658098266,-600.5465755815167,-764.3070033898839,-10475.383326452458,-10475.383326452458,-10504.286572033596,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-09-06,-5135.285390106961,-2719.7261035258125,-5750.560722095775,-651.844640642601,-747.5623678980774,-15004.979224269278,-15004.979224269278,-15047.515734703427,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-07-07,-1508.6948243430816,0.0,785.6237248389516,-430.8329918383606,-573.8877863576199,-1727.791877700016,,-14735.27661285488,var|historical|full_revaluation^ytm|var_type^10^95,-14781.728897796012,,,,,,,,,,,,
10-Day 99% var_type,2023-02-24,-3007.233750384359,-1747.2891249796667,-736.0145416475134,-315.85759433750354,-550.2801659751422,-6356.675177324214,,-21051.2313579202,var|historical|full_revaluation^ytm|var_type^10^99,-20995.179763232707,,,,,,,,,,,,
10-Day 99% expected_shortfall,2023-02-24,-3007.233750384359,-1747.2891249796667,-736.0145416475134,-315.85759433750354,-550.2801659751422,-6356.675177324214,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-20995.179763232707,-21051.2313579202,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-07-07,-1508.6948243430816,0.0,785.6237248389516,-430.8329918383606,-573.8877863576199,-1727.791877700016,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-14781.728897796012,-14735.27661285488,,,,,,,,,,,
10-Day 95% var_type,2023-02-01,,,,,,1236.9913573223844,,-34659.479421588185,var|historical|sensitivity_approximation^ytm|var_type^10^95,-35249.384834896126,,312.900786777158,-1467.8819837281208,2700.2322721107225,-83.07763250265243,-225.18208533472276,,,,,,
10-Day 99% var_type,2023-02-16,,,,,,-42223.24042695401,,-49773.57590362863,var|historical|sensitivity_approximation^ytm|var_type^10^99,-49399.53264064639,,-15957.9401256346,-8623.806654402766,-13163.632326539795,-1910.7855475610174,-2567.0757728158355,,,,,,
10-Day 95% var_type,,,,,,,-32574.820807878954,,-53117.53548057122,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-53117.74161252729,,,,,,,46017.0,-14363.011378071787,-5704.806335137306,-6212.902100751996,-2570.8336591488546,-3723.267334769011
10-Day 99% var_type,,,,,,,-83641.57289656691,,-74869.75432352784,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-74865.6949195396,,,,,,,9433.0,-31475.98022031366,-15882.814664732812,-25385.73250617628,-4751.547608782497,-6145.49789656166
