model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2023-07-07,-708.922923820006,-6791.120231777546,-812.640878945298,-1877.9019585525966,-1356.1158884616452,-11546.701881557121,-11546.701881557121,-11560.875496338847,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-14,-1277.845372380456,-8047.118995854224,-1795.5008471995534,-3166.812077033217,-2567.674445165496,-16854.951737632975,-16854.951737632975,-16861.032644917374,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2023-05-15,-229.46316497400403,-2172.148272818071,-559.0491721331782,-718.4935099918512,-141.7298920583562,-3820.8840119754896,,-15229.916006802288,var|historical|full_revaluation^ytm|var_type^10^95,-15252.751939559588,,,,,,,,,,,,
10-Day 99% var_type,2022-03-14,-1277.845372380456,-8047.118995854224,-1795.5008471995534,-3166.812077033217,-2567.674445165496,-16854.951737632975,,-22429.602542461238,var|historical|full_revaluation^ytm|var_type^10^99,-22396.48167104926,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-03-14,-1277.845372380456,-8047.118995854224,-1795.5008471995534,-3166.812077033217,-2567.674445165496,-16854.951737632975,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-22396.48167104926,-22429.602542461238,,,,,,,,,,,
10-Day 95% expected_shortfall,2023-05-15,-229.46316497400403,-2172.148272818071,-559.0491721331782,-718.4935099918512,-141.7298920583562,-3820.8840119754896,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-15252.751939559588,-15229.916006802288,,,,,,,,,,,
10-Day 95% var_type,2023-08-04,,,,,,-17365.444801518468,,-35533.22811369857,var|historical|sensitivity_approximation^ytm|var_type^10^95,-36004.65812947712,,-695.1389009870932,-10621.214641349774,-1988.1162247477519,-3329.1898513104447,-731.7851831234026,,,,,,
10-Day 99% var_type,2022-12-21,,,,,,-22224.618174693685,,-51544.00807225287,var|historical|sensitivity_approximation^ytm|var_type^10^99,-51505.8128778689,,-1181.7361316780573,-12981.484561649708,-1988.1162247477519,-4121.8541016224435,-1951.4271549957264,,,,,,
10-Day 95% var_type,,,,,,,-56970.49954023654,,-55189.063520328185,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-55191.23697746944,,,,,,,24906.0,-5569.206497761205,-22268.145544582163,-7179.159078058702,-10655.048409472449,-11298.940010362021
10-Day 99% var_type,,,,,,,-34525.98365122308,,-77799.69890409123,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-77796.01286516135,,,,,,,13064.0,-3483.6451057510485,-9684.494680151334,-4900.443684486052,-7449.514521193951,-9007.885659640697
