cusip,issuer,bond_type,face_value,coupon_rate,coupon_frequency,next_coupon_date,maturity_date,last_price,adtv,rating,as_of_date,years_to_maturity,weight,market_value,quantity,last_yield,modified_duration,dv01,convexity,cr01,financial_crisis_2008 price,stress_testing|financial_crisis_2008|full_revaluation^zero_curve,oil_crisis_1974 price,stress_testing|oil_crisis_1974|full_revaluation^zero_curve
01609WAJ1,ALIBABA GROUP HLDG LTD,CORP,100,0.045,2,2023-11-28,2034-11-28,88.86256674,35,A,2023-09-20,11.189596167008897,0.2437895060184784,243789.5060184784,2743.4443429005814,0.05890000000129631,8.403361527540715,-0.07467442745814352,86.02504948481192,-0.0023215350622878593,101.512914726039,34705.525618022446,98.91669685802457,27582.946395080835
037833BA7,Apple Inc AAPL,CORP,100,0.0345,2,2024-02-09,2045-02-09,77.68969448,85,AA,2023-09-20,21.39082819986311,0.16900515240102498,169005.15240102497,2175.3870128107237,0.05209999999753676,13.91009650722939,-0.10806711478339666,251.5685199564412,-0.00514465233857199,78.78405874929419,2380.665818706677,75.92218056984119,-3845.026805121779
931142CM3,Walmart Inc WMT,CORP,100,0.062,1,2024-04-15,2038-04-15,138.65,5,AA,2023-09-20,14.568104038329912,0.10595229262615845,105952.29262615845,764.170880823357,0.028202449279395365,10.191415952818584,-0.14130398218582968,132.56415573648084,-0.013193411416068357,76.47431972943603,-47512.84435814829,74.03799843533834,-49374.61014742763
912797HC4,U.S. Treasury 10Yr,UST,100,0.03875,2,2024-02-15,2033-08-15,96.33577141,100,AAA,2023-09-20,9.902806297056811,0.1271137594020995,127113.75940209952,1319.486599231245,0.0437185056500719,7.829648279258705,-0.07542752068513665,37.880535655021475,-0.00039385187660203637,92.69823221177047,-4799.684226242236,90.3793455007949,-7859.424166509925
912797JA6,U.S. Treasury 5Yr,UST,100,0.04375,2,2024-02-28,2028-08-31,99.41551367,125,AAA,2023-09-20,4.947296372347707,0.3541392895522386,354139.2895522386,3562.2135467485396,0.045364262070481186,4.039236977527757,-0.04015628189557802,5.904305839279894,-0.0008090860833660279,99.35148629856482,-228.07916988907576,97.87206642272949,-5498.088692918742
