model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2021-11-22,-2202.8411780156894,0.0,-4740.147595928283,-1.7009671059958578,-2786.175552228524,-9730.865293278359,-9730.865293278359,-9778.404847375463,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-08-02,-2612.9618427244714,-1941.7131323683861,-5139.595854369458,-2.41156995070898,-4038.2296151575865,-13734.91201457032,-13734.91201457032,-13739.86343739793,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-07-25,-994.9035237938224,-2101.47239893557,-3435.968405140913,-0.635267692131606,-421.8102864686516,-6954.789882031269,,-12574.057813615012,var|historical|full_revaluation^ytm|var_type^10^95,-12602.872218638426,,,,,,,,,,,,
10-Day 99% var_type,2023-02-24,-1550.547156549088,-1202.0244178738503,-780.4056470593205,-0.9138466348084648,-1806.1013495080406,-5339.992417625152,,-18821.334847215498,var|historical|full_revaluation^ytm|var_type^10^99,-18775.107725722948,,,,,,,,,,,,
10-Day 99% expected_shortfall,2023-02-24,-1550.547156549088,-1202.0244178738503,-780.4056470593205,-0.9138466348084648,-1806.1013495080406,-5339.992417625152,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-18775.107725722948,-18821.334847215498,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-07-25,-994.9035237938224,-2101.47239893557,-3435.968405140913,-0.635267692131606,-421.8102864686516,-6954.789882031269,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-12602.872218638426,-12574.057813615012,,,,,,,,,,,
10-Day 95% var_type,2023-02-01,,,,,,1275.292895720911,,-28719.7085678774,var|historical|sensitivity_approximation^ytm|var_type^10^95,-28800.949263488215,,161.33345974761247,-1009.8099746479198,2863.0908688435725,-0.24036216399874683,-739.0810960583552,,,,,,
10-Day 99% var_type,2023-02-16,,,,,,-36549.260858634225,,-42374.50590727103,var|historical|sensitivity_approximation^ytm|var_type^10^99,-42294.980528052896,,-8228.006447128002,-5932.633601056568,-13957.567985612442,-5.52832977197121,-8425.524495065238,,,,,,
10-Day 95% var_type,,,,,,,1482.862052990393,,-46106.25013091986,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-46108.880780379695,,,,,,,41362.0,-717.4985010557589,-1519.375789631494,2197.9957641256638,1.622213362116804,1520.1183661898656
10-Day 99% var_type,,,,,,,-40466.19317721699,,-65504.137160310565,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-65504.059320588305,,,,,,,28276.0,-6089.320479934512,-6954.3186805580535,-13641.523514868511,-9.455220213886156,-13771.57528164203
