cusip,issuer,bond_type,face_value,coupon_rate,coupon_frequency,next_coupon_date,maturity_date,last_price,adtv,rating,as_of_date,years_to_maturity,weight,market_value,quantity,last_yield,modified_duration,dv01,convexity,cr01,financial_crisis_2008 price,stress_testing|financial_crisis_2008|full_revaluation^zero_curve,oil_crisis_1974 price,stress_testing|oil_crisis_1974|full_revaluation^zero_curve
01609WAJ1,ALIBABA GROUP HLDG LTD,CORP,100,0.045,2,2023-11-28,2034-11-28,88.86256674,35,A,2023-09-20,11.189596167008897,0.4074322171206645,407432.21712066454,4584.970163114428,0.05890000000129631,8.403361527540715,-0.07467442745814352,86.02504948481192,-0.0017771612437157721,101.512914726039,58001.46806900349,98.91669685802457,46097.88660721275
037833BA7,Apple Inc AAPL,CORP,100,0.0345,2,2024-02-09,2045-02-09,77.68969448,85,AA,2023-09-20,21.39082819986311,0.1348831957076512,134883.1957076512,1736.1787378681838,0.05209999999753676,13.91009650722939,-0.10806711478339666,251.5685199564412,-0.0019811519426812113,78.78405874929419,1900.0119758312228,75.92218056984119,-3068.720069703984
931142CM3,Walmart Inc WMT,CORP,100,0.062,1,2024-04-15,2038-04-15,138.65,5,AA,2023-09-20,14.568104038329912,0.031059897082901706,31059.897082901705,224.0165674929802,0.028202449279395365,10.191415952818584,-0.14130398218582968,132.56415573648084,-0.004923550666007658,76.47431972943603,-13928.38247575275,74.03799843533834,-14474.158809366572
912797HC4,U.S. Treasury 10Yr,UST,100,0.03875,2,2024-02-15,2033-08-15,96.33577141,100,AAA,2023-09-20,9.902806297056811,0.3706865612153395,370686.5612153395,3847.85999831482,0.0437185056500719,7.829648279258705,-0.07542752068513665,37.880535655021475,-0.00750552021649898,92.69823221177047,-13996.741573169582,90.3793455007949,-22919.49298895632
912797JA6,U.S. Treasury 5Yr,UST,100,0.04375,2,2024-02-28,2028-08-31,99.41551367,125,AAA,2023-09-20,4.947296372347707,0.055938128873443106,55938.12887344311,562.6700180730768,0.045364262070481186,4.039236977527757,-0.04015628189557802,5.904305839279894,-0.0019069287086756856,99.35148629856482,-36.02628224260071,97.87206642272949,-868.4514905165366
