model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-10-19,-1402.712901020801,-5017.572176936141,-645.050905425931,-3863.6907953164773,-1182.7451314546051,-12111.771910154028,-12111.771910154028,-12129.03526149396,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-25,-1726.0575581370213,-6381.4664555077325,-2007.9956864413252,-5148.236251873546,-1836.8974138121412,-17100.653365771752,-17100.653365771752,-17134.30574526486,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2023-02-03,-1641.4523155101342,-3603.145990212215,-1609.7735204894998,-4109.497254878283,-1582.2971159676672,-12546.166197057813,,-16202.097840991626,var|historical|full_revaluation^ytm|var_type^10^95,-16217.284975014627,,,,,,,,,,,,
10-Day 99% var_type,2022-03-14,-1901.8558828708192,-7875.372686908522,-1190.8331330906658,-5338.420869952475,-1467.218382811523,-17773.700955634005,,-23046.919821256688,var|historical|full_revaluation^ytm|var_type^10^99,-22977.497949444223,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-03-14,-1901.8558828708192,-7875.372686908522,-1190.8331330906658,-5338.420869952475,-1467.218382811523,-17773.700955634005,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-22977.497949444223,-23046.919821256688,,,,,,,,,,,
10-Day 95% expected_shortfall,2023-02-03,-1641.4523155101342,-3603.145990212215,-1609.7735204894998,-4109.497254878283,-1582.2971159676672,-12546.166197057813,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-16217.284975014627,-16202.097840991626,,,,,,,,,,,
10-Day 95% var_type,2023-08-04,,,,,,-18778.012086009465,,-38190.28403622477,var|historical|sensitivity_approximation^ytm|var_type^10^95,-38340.107773430456,,-1034.59623271308,-10394.530481203597,-1318.5817631650757,-5612.147531949454,-418.1560769782601,,,,,,
10-Day 99% var_type,2022-06-15,,,,,,-36598.19420462167,,-54071.57996495708,var|historical|sensitivity_approximation^ytm|var_type^10^99,-53926.701641595144,,-5897.198526464549,-15014.321806182941,-2197.636271941798,-10422.559702191831,-3066.4778978405557,,,,,,
10-Day 95% var_type,,,,,,,-53623.161491674924,,-58609.50754698015,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-58610.82265280122,,,,,,,35383.0,-6528.104216799308,-18532.626100128065,-2952.672668270262,-19094.29902768624,-6515.459478791044
10-Day 99% var_type,,,,,,,-37602.229189273094,,-82420.79485371825,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-82417.98515395299,,,,,,,23118.0,-5478.834606733457,-15921.94878333864,-2755.8196878950184,-9852.434452957903,-3593.191658348076
