model_config,date,01609WAJ1_daily_pnl,037833BA7_daily_pnl,931142CM3_daily_pnl,912797HC4_daily_pnl,912797JA6_daily_pnl,portfolio_daily_pnl,1_day_pnl,var_type loss,model_config,10_day_pnl,expected_shortfall loss,01609WAJ1,037833BA7,931142CM3,912797HC4,912797JA6,index,0,1,2,3,4
1-Day 95% var_type,2022-04-14,-1082.229015962046,-1012.0950979324698,-2831.3668893795693,-3149.753163727699,-1979.4463386610732,-10054.89050566312,-10054.89050566312,-10055.563675002544,var|historical|full_revaluation^ytm|var_type^1^95,,,,,,,,,,,,,
1-Day 99% var_type,2022-03-14,-1632.229020323488,-2660.3970562059694,-4219.2477534957,-3652.740687330661,-2225.309005859075,-14389.923523214879,-14389.923523214879,-14393.849918792524,var|historical|full_revaluation^ytm|var_type^1^99,,,,,,,,,,,,,
10-Day 95% var_type,2022-06-14,-1149.4462116375507,-596.7384002225444,-3188.217802378058,-1350.5413407941232,-722.0794108859845,-7007.023165918188,,-13003.588730567073,var|historical|full_revaluation^ytm|var_type^10^95,-13044.01034873887,,,,,,,,,,,,
10-Day 99% var_type,2022-06-13,-2773.60108017952,-2898.634373741341,-4313.512890526268,-6417.041823366919,-4526.729055918637,-20929.519223732874,,-19915.85539897544,var|historical|full_revaluation^ytm|var_type^10^99,-19904.14452409488,,,,,,,,,,,,
10-Day 99% expected_shortfall,2022-06-13,-2773.60108017952,-2898.634373741341,-4313.512890526268,-6417.041823366919,-4526.729055918637,-20929.519223732874,,,var|historical|full_revaluation^ytm|expected_shortfall^10^99,-19904.14452409488,-19915.85539897544,,,,,,,,,,,
10-Day 95% expected_shortfall,2022-06-14,-1149.4462116375507,-596.7384002225444,-3188.217802378058,-1350.5413407941232,-722.0794108859845,-7007.023165918188,,,var|historical|full_revaluation^ytm|expected_shortfall^10^95,-13044.01034873887,-13003.588730567073,,,,,,,,,,,
10-Day 95% var_type,2023-09-15,,,,,,-15605.411245980986,,-30687.55274576989,var|historical|sensitivity_approximation^ytm|var_type^10^95,-30817.815411345695,,-1775.8422292256785,-1820.7255730225763,-5294.791284435802,-4388.610710950148,-2325.441448346781,,,,,,
10-Day 99% var_type,2022-06-15,,,,,,-29702.004665644155,,-41982.15350224593,var|historical|sensitivity_approximation^ytm|var_type^10^99,-41915.94481382228,,-5061.1503532931765,-5072.021239134291,-7786.4577712291275,-7131.492405294001,-4650.882896693558,,,,,,
10-Day 95% var_type,,,,,,,-32335.81780048162,,-49505.80354356013,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^95,-49508.59982008579,,,,,,,32224.0,-3699.0420589335017,-4846.078641783181,-6828.357164270515,-8660.271137679381,-8302.068797815042
10-Day 99% var_type,,,,,,,-30119.355417991515,,-69305.89079012134,var|monte_carlo|sensitivity_approximation^ytm|var_type^10^99,-69302.87870096308,,,,,,,38623.0,-4618.364166823974,-3183.4799926092173,-7801.6814453650795,-8956.796267371526,-5559.033545821715
